ticker,fossil_fuel,defense,gambling,tobacco,alcohol,private_prisons,adult_entertainment,controversial_weapons
MMM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AOS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ABT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ABBV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ACN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ADBE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AMD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AES,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AFL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
APD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ABNB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AKAM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALGN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALLE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LNT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ALL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GOOGL,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
GOOG,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
MO,0.00,0.00,0.00,0.70,0.15,0.00,0.00,0.00
AMZN,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00
AMCR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AEE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AEP,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AXP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AIG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AMT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AWK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AMP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AME,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AMGN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
APH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ADI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
APA,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00
APO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AAPL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AMAT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
APP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
APTV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ACGL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ADM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARES,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ANET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AJG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AIZ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
T,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
